,paper,github_link
56,Graphical argumentation and design cognition,https://github.com/max-talanov/1/blob/master/affective_computing_course/cognitive_architecture.md
57,Image quality in lossy compressed digital mammograms,https://github.com/topics/mammogram-images
58,Filter cascades as analogs of the cochlea,https://github.com/alesguzik/MacEar/blob/master/ear.man
59,A Low-Power Wide-Linear-Range Transconductance Amplifier,https://github.com/mrWheel/kicad-symbols/blob/master/Amplifier_Operational.dcm
60,Analysis and optimisation of the HIPERLAN Channel Access Contention Scheme,https://github.com/Santosh-Gupta/NaturalLanguageRecommendations/blob/master/notebooks/data/CreateCS_tfrecordsDataSet4Bert_github.ipynb
61,Projective registration with difference decomposition,https://github.com/topics/image-registration
62,Using talker location to detect spurious utterances in desktop command and control,https://github.com/taneliang/Computer-Command
63,Memory reference metrics and instruction trace sampling,https://github.com/ARM-software/Methodology_for_ArmIE_SVE
64,Role of user studies in the design of OpenDoc,https://github.com/netwerk-digitaal-erfgoed/LDWizard/blob/master/docs/design.md
65,Portable printer controller ASIC design using behavioral compiler,https://github.com/johnyf/tool_lists/blob/master/verification_synthesis.md
66,Designing a graphical user interface for healthcare workers in rural India,https://github.com/topics/rural-healthcare-management
67,Designing the OpenDoc human interface,https://github.com/topics/human-interface-design
68,Pippin: adapting PC technology for the technophobe,https://github.com/Samreay/Pippin
69,Performance aspects of RAID architectures,https://github.com/rai-project/raid
70,Computer participant in musical improvisation,https://github.com/gmittal/jazzml
71,Error analysis of a real-time stereo system,https://github.com/binhanle/eem202a-project
72,From Web press to Web pressure: Multimedia representations and multimedia publishing,https://github.com/w3c/sync-media-pub
73,Processing images and video for an impressionist effect,https://github.com/andreajeka/HKUST_Impressionist
74,Motion editing with spacetime constraints,https://github.com/weihaox/awesome-neural-rendering
75,High-performance computing over switch-based high-speed local networks,https://github.com/UoM-ResPlat-DevOps/SpartanIntro/blob/master/Lessons/Lesson_1.md
76,Statistical language modeling approach integrating local and global constraints,https://github.com/topics/constraint-programming%3Fo%3Ddesc%26s%3Dupdated
77,Flexible design and implementation of an application programming interface for asynchronous transfer mode,https://github.com/microsoft/NetworkDirect/blob/master/docs/NetworkDirectSPI.md
78,"Computers, kids, and creativity: What does the future hold?",https://github.com/ckirsch/book
79,Putting it all together: Pattern languages for interaction design,https://github.com/schalkventer/reading-notes/blob/main/design-systems.md
80,Interactive ethnography: Digital photography at Lincoln high school,https://github.com/topics/ethnography%3Fo%3Ddesc%26s%3Dupdated
81,Intelligent software agents vs. user-controlled direct manipulation: A debate,https://github.com/alecfilios/Training-Intelligent-game-Agents-through-Competitive-Reinforcement-Learning
82,Activity theory: Basic concepts and applications,https://github.com/mazzulab/ANDA_HMM_Course
83,Design v. Computing: Debating the future of human- computer interaction,https://github.com/topics/human-computer-interaction
84,HCI at trilogy: Bringing the design stance to a startup,https://github.com/topics/human-computer-interaction%3Fl%3Djavascript%26o%3Dasc%26s%3Dstars
85,Symmetric error compensation for digital halftoning and applications,https://github.com/SankarSrin/Digital-Halftoning
86,Color volume as a device characteristic,https://github.com/topics/color-spaces%3Fo%3Dasc%26s%3Dstars
87,Object shape and reflectance modeling from observation,https://github.com/bhushan23/SIRFS
88,Processing images and video for an impressionist effect,https://github.com/andreajeka/HKUST_Impressionist
89,Hardware accelerated rendering of antialiasing using a modified a-buffer algorithm,https://github.com/topics/anti-aliasing
90,Human interface research and practice at apple computer,https://github.com/topics/human-interface-guidelines
91,On consistent signal reconstruction from wavelet extrema representation,https://github.com/LoraLinH/Awesome-CT-Reconstruction
92,Shaping the future of technical communication: Improving the marriage between academia and industry,https://github.com/topics/technical-communication
93,Key to the success of asynchronous transfer mode: An application programming interface,https://github.com/Warren-Wei/notes/blob/master/Courses/Unimelb_COMP30023_Computer_Systems/Summary.md
94,Social interaction on the net: Virtual community as participatory genre,https://github.com/pacian/Digital-Humanities-Toolkit
95,Two-Dimensional IFIR Structures Using Generalized Factorizable Filters,https://github.com/cmdlab/Hetero2d
96,Image similarity models and the perception of artistic representations of natural images,https://github.com/topics/image-similarity
97,Constrained attribute grammars for recognition of multi-dimensional objects,https://github.com/dotnet/csharpstandard/blob/draft-v7/standard/expressions.md
98,"Registration, calibration and blending in creating high quality panoramas",https://github.com/tzxiang/awesome-image-alignment-and-stitching
99,Synthesis of low power circuits using combined pass logic and CMOS topologies,https://github.com/dv-123/ADIABATIC_TECHNIQUE_FOR_POWER_EFFICIENT_LOGIC_CIRCUIT_DESIGN
100,Estimation of BIST Resources during High-Level Synthesis,https://github.com/topics/vivado-hls%3Fl%3Dc%252B%252B
101,A Low-Power Wide-Dynamic-Range Analog VLSI Cochlea,https://github.com/uzh-rpg/event-based_vision_resources
102,Information rendezvous,https://github.com/CAMMA-public/rendezvous
103,Simple tool to facilitate design for the environment at Apple Computer,https://github.com/phmullins/awesome-macos
104,Signal restoration with controlled piecewise monotonicity constraint,https://github.com/DataDog/piecewise
105,Constraint-based motion adaptation,https://github.com/topics/constraint-based-modeling
106,On-the-fly texture computation for real-time surface shading,https://github.com/stanford-cs248/shading
107,"Combining Neural Networks and Context-Driven Search for Online, Printed Handwriting Recognition in the NEWTON",https://github.com/topics/handwritten-text-recognition
108,Exploiting both local and global constraints for multi-span statistical language modeling,https://github.com/sebischair/KG-in-NLP-survey
109,Factors Governing Print Quality in Color Prints,https://github.com/Mukosame/Print-Defect-Detection-and-Quality-Assessment
110,ColorSync 2.5 - Building a color platform,
111,An error diffusion algorithm with output position constraints for homogenous highlight and shadow dot distribution,https://github.com/topics/error-diffusion%3Fo%3Dasc%26s%3Dstars
112,White point adaptation revisited,https://github.com/topics/chromatic-adaptation
113,Consensus surfaces for modeling 3D objects from multiple range images,https://github.com/krahets/awesome-mvs
114,Exploiting melt compressibility to achieve improved weld line strengths,https://github.com/GuanghuaHe/CST8284/blob/master/CST8284_Lab09/LongWordList.txt
115,A multispan language modeling framework for large vocabulary speech recognition,https://github.com/topics/large-language-models
116,Gamut mapping in munsell constant hue sections,https://github.com/darktable-org/darktable/issues/11777
117,Technology as a change agent for the teaching process,https://github.com/topics/education-technology
118,"Automatic compile-time parallelization of logic programs for restricted, goal level, independent and parallelism",https://github.com/yeslogic/prince-samples/blob/master/thesis/bib-sorted.bib
119,Using a sigmoid transformation for improved modeling of phoneme duration,https://github.com/topics/phoneme-prediction
120,Speech recognition experiments using multi-span statistical language models,https://github.com/mpc001/Visual_Speech_Recognition_for_Multiple_Languages
121,Consistent overhead byte stuffing,https://github.com/cmcqueen/cobs-c
122,Synthesis of low-power CMOS circuits using hybrid topologies,https://github.com/topics/hybrid-topology
123,Prediction and compensation of white point shift in CRT displays resulting from screen aging,https://github.com/Atlrrific/CSE-190-Assignment-2/blob/master/Model2_0.02.ipynb
124,More about the factors determining the color print quality,https://github.com/jwhabi/Vehicle-Color-Identification
125,NETMAN: The design of a collaborative wearable computer system,https://github.com/WearableComputerLab
126,A novel structure to improve the viewing angle characteristics of twisted-nematic liquid crystal displays,https://github.com/davidar/dblp.yaml/blob/master/journals/displays.bib
127,Active management of data caches by exploiting reuse information,https://github.com/WebKit/WebKit/blob/main/Source/bmalloc/libpas/Documentation.md
128,Standard RGB color spaces,https://github.com/colorjs/color-space
129,Gamut mapping: An overview of the problem,https://github.com/topics/gamut-mapping
130,Optimization of heat pipe wick structures for low wattage electronics cooling applications,https://github.com/puttak/Heat-Pipe-Reactor
131,Globaltime-domain full-wave analysis of microwave circuits involving highly nonlinear phenomena and EMC effects,https://github.com/topics/microwave-engineering%3Fo%3Dasc%26s%3Dforks
132,"DVD copy protection issues: Technology, consensus, and implementation",https://github.com/reignstumble/DICUI/issues/83
133,Toward unconstrained command and control: Data-driven semantic inference,https://github.com/dectrfov/IROS2021PaperList
134,Guidelines for writing HTML help,https://github.com/github/docs/blob/main/contributing/content-style-guide.md
135,JPEG 2000 file format: An imaging architecture for today and tomorrow,https://github.com/aous72/OpenJPH
136,Large vocabulary speech recognition with multispan statistical language models,https://github.com/rizar/attention-lvcsr
137,Time varying halftoning,https://github.com/topics/halftoning
138,Signal processing for Internet video streaming: A review,https://github.com/VideoForage/Video-Lit
139,Error diffusion algorithm with output position constraints for homogeneous highlight and shadow dot distribution,https://github.com/euba/BacArena/blob/master/R/Arena.R
140,Exploiting latent sematic information in statistical language modeling,https://github.com/topics/latent-semantic-analysis%3Fo%3Ddesc%26s%3Dupdated
141,AltiVec extension to PowerPC accelerates media processing,https://github.com/yui-konnu/PPC-Altivec-IDA
142,Design and implementation of a low-power clock-powered microprocessor,https://github.com/Infineon/mtb-example-psoc6-low-power-capsense-freertos
143,Guidelines for writing HTML help,https://github.com/github/docs/blob/main/contributing/content-style-guide.md
144,Smooth contour estimation in data-driven pitch modelling,https://github.com/vieenrose/SLAMplus
145,Data-driven semantic inference for unconstrained desktop command and control jerome,https://github.com/huipingcao/topic_model_initial/blob/master/dataset/citation%2520data/data.txt
146,"Allocation by conflict: A simple, effective multilateral cache management scheme",https://github.com/topics/cache-management
147,Statistical prosodic modeling: from corpus design to parameter estimation,https://github.com/topics/parameter-estimation%3Fl%3Dr
148,"Language-independent, short-enrollment voice verification over a far-field microphone",https://github.com/topics/voice-verification
149,Cache performance for multimedia applications,https://github.com/topics/caching-library%3Fo%3Ddesc%26s%3Dforks
150,IEEE 1394: A growing computer connectivity standard for automated test,https://github.com/topics/ieee1394
151,Effect of temperature on vibration transmission properties of cushioning materials,https://github.com/esantus/ROOT9/blob/master/Dataset_WN_Hyper
152,The Development and Assessment of Multimedia Software for Improving 3-D Spatial Visualization Skills,https://github.com/topics/spatial-visualization
153,Thermal management of computer system enclosures in natural convection,https://github.com/bilalesi/test-diff/blob/master/Thermosolutal%2520mixed%2520convection%2520in%2520a%2520liSd-.txt
154,Training Agents to Recognize Text by Example,https://github.com/topics/text-recognition
155,Semantic inference: A Data-driven solution for NL interaction,https://github.com/casnlu/Semantic-Parsing
156,Compact models for estimating microprocessor frequency and power,https://github.com/ra3xdh/qucs_s-help/blob/master/source/DModel.rst
157,Stage of motivational readiness: Predictive ability for exercise behavior,https://github.com/wso2/reference-methodology/blob/master/reference-methodology.md
158,Thermal management of an IMAC computer in a free convection environment,https://github.com/ProjectPhysX/FluidX3D
159,Advanced design considerations of semi-anechoic chambers,https://github.com/PythonSpiderMan/ScrappedData/blob/master/IEEE_5G.md
160,File format technology in JPEG 2000 enables flexible use of still and motion sequences,https://github.com/alicevision/meshroom/issues/937
161,Low-power sequential access memory design,https://github.com/VLSIDA/OpenRAM/issues/41
162,Fast update of latent semantic spaces using a linear transform framework,https://github.com/topics/latent-semantic-indexing%3Fo%3Ddesc%26s%3Dstars
163,Measuring the performance of multimedia instruction sets,https://github.com/manuts/fec-3.0.1
164,Gray tracking correction for TFT-Lcds,https://github.com/Bodmer/TFT_ILI9163/blob/master/examples/TFT_Rainbow/TFT_Rainbow.ino
165,Design and characterization of the Berkeley multimedia workload,https://github.com/prakhar1989/awesome-courses
166,FireWire as a mass-storage interface,https://github.com/topics/usb-drive%3Fo%3Ddesc%26s%3Dstars
167,A latent analogy framework for grapheme-to-phoneme conversion,https://github.com/topics/grapheme-to-phoneme
168,Automatic junk e-mail filtering based on latent content,https://github.com/topics/email-spam-filter
169,True coverage: a goal of verification,https://github.com/marketplace/actions/code-coverage-summary
170,A texture replacement method at the encoder for bit-rate reduction of compressed video,https://github.com/BinomialLLC/basis_universal
171,The 10th color imaging conference,https://github.com/lilong10/quaternion/blob/master/README.md
172,Natural language spoken interface control using data-driven semantic inference,https://github.com/topics/natural-language
173,Practical aspects of the materials declaration process,https://github.com/Open-Science-Training-Handbook/Open-Science-Training-Handbook_EN/blob/master/02OpenScienceBasics/02OpenResearchDataAndMaterials.md
174,"Unsupervised, language-independent grapheme-to-phoneme conversion by latent analogy",https://github.com/topics/grapheme-to-phoneme
175,Voltage-Pulse Driven Harmonic Resonant Rail Drivers for Low-Power Applications,https://github.com/SCLW/Circuitry-Based-Sound
176,Untangling the balancing and searching of balanced binary search trees,https://github.com/topics/balanced-search-trees
177,Enhancement of direct mode selection in B pictures for bit rate reduction of compressed video sequences,https://github.com/stoitsev/University-homeworks/blob/master/Web%2520Intelligence%2520and%2520Big%2520Data/hw3/hw3data/x0060
178,Statistical language model adaptation: Review and perspectives,https://github.com/OCR-D/ocrd_keraslm
179,Automated estimation of misconvergence in color monitors,https://github.com/hiroshiban/Mcalibrator2
180,Wavelet Video Coding With Dependent Optimization,https://github.com/ustc-fvc/ustc-fvc.github.io/blob/master/deep-compression.html
181,An encoder-decoder texture replacement method with application to content-based movie coding,https://github.com/topics/encoder-decoder-model%3Fl%3Dpython%26o%3Dasc%26s%3Dforks
182,A 0.18μm implementation of a floating-point unit for a processing-in-memory system,
183,A look-ahead method for pan and zoom detection in video sequences using block-based motion vectors in polar coordinates,https://github.com/fudan-zvg/PolarFormer
184,An automatic method for unequal and omni-directional anisotropic diffusion filtering of video sequences,https://github.com/topics/anisotropic-diffusion-filtering
185,Utilization of a local grid of Mac OS X-based computers using Xgrid,https://github.com/ITzTravelInTime/CMI8738_PowerPC_Intel
186,Gray tracking correction for TFT-LCDs,https://github.com/Bodmer/TFT_ILI9163/blob/master/examples/TFT_Rainbow/TFT_Rainbow.ino
187,I/P/B frame type decision by collinearity of displacements,https://github.com/olivierzach/R/blob/master/ISLR.R
188,Development of BGA solution for the IBM PowerPC 970 module in apple's power mac G5,https://github.com/topics/powermac
189,Latent semantic mapping,https://github.com/topics/latent-semantic-analysis
190,Latent semantic mapping: Dimensionality reduction via globally optimal continuous parameter modeling,https://github.com/topics/latent-semantic-analysis%3Fl%3Dpython%26o%3Ddesc%26s%3Dupdated
191,Conformal deskewing of non-planar documents,https://github.com/donlnz/nonconformist
192,Refactoring GCC using structure field access traces & concept analysis,https://github.com/davidmalcolm/gcc-refactoring-scripts
193,"Unsupervised, language-independent grapheme-to-phoneme conversion by latent analogy",https://github.com/topics/grapheme-to-phoneme
194,Multimedia extensions for general purpose microprocessors: A survey,https://github.com/schoeberl/comphdl/blob/master/paper/msbib.bib
195,Inter-module analysis in GCC,https://github.com/jenkinsci/analysis-model/blob/master/SUPPORTED-FORMATS.md
196,Cache aware data layout reorganization optimization in GCC,https://github.com/topics/memory-hierarchy
197,Haute couture for Transcription's Next Top Model: Text processing technologies on the catwalk,https://github.com/amitbcp/deep-learning-for-nlp-cs224n/blob/master/assignment3/data/vocab.txt
198,Optimizing color performance for LCD computer monitors,https://github.com/hiroshiban/Mcalibrator2
199,Remodeling a 10-meter semi-anechoic chamber - A case history,https://github.com/arshiagh1998/CSC347-Security-Projects/blob/master/a1/extras/Part%2520B/SecretFileDecryption/list.txt
200,Tool support for executable documentation of Java class hierarchies,https://github.com/tushartushar/DesigniteJava
201,Further developments in LSM-based boundary training for unit selection TTS,https://github.com/topics/unit-selection
202,"A global, boundary-centric framework for unit selection text-to-speech synthesis",https://github.com/topics/unit-selection
203,Breaking the fidelity barrier: An examination of our current characterization of prototypes and an example of a mixed-fidelity success,https://github.com/topics/low-fidelity-prototype
204,Performance-driven facial animation,https://github.com/EvelynFan/FaceFormer
205,Integrating UWB in consumer devices,https://github.com/insightsip/ISP3010-Examples
206,"Sampling-based planning, control and verification of hybrid systems",https://github.com/topics/sampling-based-planning
207,Rotational invariant operators based on steerable filter banks,https://github.com/simongraham/dsf-cnn
208,The myth about ground and how to correctly use it in high-speed signal integrity and power integrity modeling and simulation,https://github.com/TeledyneLeCroy/SignalIntegrity
209,The cost of code quality,https://github.com/pricing
210,Influence of an extended stub at connector ports on signal launches and TRL de-embedding,https://github.com/la3pna/matlab/blob/master/vna/trl.m
211,Signal link-path characterization up to 20 GHz based on a stripline structure,https://github.com/culurciello/eLab-bib-files/blob/master/UWB.bib
212,LSM-based boundary training for concatenative speech synthesis,https://github.com/solyarisoftware/jointts
213,Thermal management of electronics in telecommunications products: Designing for the network Equipment building system (NEBS) standards,https://github.com/drachezoil/Building-Managment-System
214,Making context-sensitive points-to analysis with heap cloning practical for the real world,https://github.com/kupl/Data-Driven-Pointsto-Analysis
215,Latent semantic mapping: Principles & applications,https://github.com/topics/latent-semantic-analysis
216,Language-independent speaker classification over a far-field microphone,https://github.com/zycv/Speaker-Recognition-Based-on-Deep-Learning-An-Overview
217,Analysis and evaluation of recommendation systems,https://github.com/ggeop/Recommendation-Systems-Evaluation-Metrics
218,Appearance can be deceiving: Using appearance models in color imaging,https://github.com/topics/color-models
219,Globally optimal training of unit boundaries in unit selection text-to-speech synthesis,https://github.com/topics/unit-selection
220,LSM-based unit pruning for concatenative speech synthesis,https://github.com/solyarisoftware/jointts
221,Characteristics of workloads used in high performance and technical computing,https://github.com/microsoft/MCW-High-Performance-Computing
222,File format for scalable video coding,https://github.com/fonzcastellanos/scalable-video-codec
223,High-scalability parallelization of a molecular modeling application: Performance and productivity comparison between OpenMP and MPI implementations,https://github.com/topics/openmp-parallelization
224,Making context-sensitive points-to analysis with heap cloning practical for the real world,https://github.com/SVF-tools/SVF/issues/80
225,Color calibration and characterization of AMLCDs,https://github.com/hiroshiban/Mcalibrator2
226,EMI analysis methods for synchronous buck converter EMI root cause analysis,https://github.com/topics/buck-converter%3Fl%3Dhtml
227,Life testing of plastic optical fibers for lead-acid battery fast charge equipment,https://github.com/cmh2166/TraceETDReview/blob/master/ETD-MS_data/oai_dc/publication:utk_gradthes.oai.dc.xml
228,Absorption at microwave frequencies in a moist metamorphic snow pack due to pendular ring accumulations of liquidwater,https://github.com/FredKSchott/snowpack
229,Unit-centric feature mapping for inventory pruning in unit selection text-to-speech synthesis,https://github.com/topics/unit-selection
230,Selective Writeback: Reducing register file pressure and energy consumption,https://github.com/topics/energy-efficiency%3Fl%3Dpython%26o%3Ddesc%26s%3Dforks
231,Creating physically embodied agents using realistic human motion models,https://github.com/ease-crc/soma
232,Characterization of thermally actuated pole tip protrusion for head-media spacing adjustment in hard disk drives,https://github.com/thejat/dl-notebooks/blob/master/examples/cnn/NLP_Keras_1DCNN_Example.ipynb
233,Robust streaming of offline coded H.264/AVC video via alternative macroblock coding,https://github.com/cisco/openh264
234,Improving color saturation for color managed images rendered using the perceptual intent,https://github.com/ImageMagick/ImageMagick/discussions/5963
235,Two heads better than one: Pattern discovery in time-evolving multi-aspect data,https://github.com/MLRG-CEFET-RJ/ml-class/blob/master/DataMining_week09.ipynb
236,Inferring segmented dense motion layers using 5D tensor voting,https://github.com/topics/tensor-voting%3Fl%3Dmatlab
237,A novel approach to part-of-speech tagging based on latent analogy,https://github.com/topics/part-of-speech-tagger%3Fo%3Dasc%26s%3Dstars
238,Further analysis of LSM-based unit pruning for unit selection TTS,https://github.com/topics/unit-selection
239,Emerging technologies in global communication: Using appreciative inquiry to improve the preparation of school administrators,https://github.com/p6steve/ACPI-Migration/blob/main/ejel.log
240,Accurate parameter estimation and efficient fade detection for weighted prediciton in H.264 video compression,https://github.com/leandromoreira/digital_video_introduction
241,The challenges of on-chip protection for system level cable discharge events (CDE),https://github.com/SDI-SoftwareDefinedInverter/TAPAS
242,Matching image color from different cameras,https://github.com/ImageMagick/ImageMagick/discussions/4367
243,DRAGON: A direct manipulation interface for frame-accurate in-scene video navigation,https://github.com/willi-menapace/PlayableEnvironments
244,Radar - Predator cueing experiment,https://github.com/topics/posner-cueing-task
245,Emerging LCDs based on the kerr effect,https://github.com/AJMansfield/LcdEffects
246,Reproducible research in computational harmonic analysis,https://github.com/FedericoTartarini/reproducible-research
247,The geography of trade in online transactions: Evidence from eBay and mercadoLibre,
248,Hermeticity evaluation of polymer-sealed MEMS packages by gas diffusion analysis,https://github.com/jsunn-y/PolymerGasMembraneML
249,The buck stops (and starts) at business school,https://github.com/JackBienko/EntrepProgramsSecondarySchoolsUSA/blob/master/Entrepreneur_Education_Programs_In_US_Secondary_Schools.csv
250,NDIIPP models for mass data transmission and storage,https://github.com/digipres/awesome-digital-preservation
251,A novel approach to cost weighting in unit selection TTS,https://github.com/tts-tutorial/survey
252,Scale-only tomlinson-harashima precoding,https://github.com/mvallet91/SmartPub-TSENER/blob/master/nohup.out
253,An on-chip process control monitor for process variability measurements in nanometer technologies,https://github.com/miglopst/PIM_NDP_papers/blob/master/paper_list.md
254,Perturbation based modeling strategy for weakly coupled interconnects,https://github.com/artemyk/perturbationmodularity
255,EMC guideline for synchronous buck converter design,https://github.com/microchip-pic-avr-solutions/epc9153-power-sync-buck-acmc
256,EMI prediction in switched power supplies by full-wave and non-linear circuit co-simulation,https://github.com/LBNL-ETA/fmi-for-power-system/blob/master/docs/source/06_examples.rst
257,Characterization of precurved needles for use in distal tip manipulation mechanisms,https://github.com/PaoPaoRobot/ICRA2020-paper-list
258,Latent affective mapping: A novel framework for the data-driven analysis of emotion in text,https://github.com/zhongpeixiang/AI-NLP-Paper-Readings/blob/master/NLP/NLP_sentiment.md
259,Latent perceptual mapping: A new acoustic modeling framework for speech recognition,https://github.com/topics/acoustic-model
260,Watershed segmentation of dermoscopy images using a watershed technique,https://github.com/topics/watershed-algorithm
261,Ergodic and outage performance of fading broadcast channels with 1-bit feedback,https://github.com/Apurvasriram/Thesis_project
262,Zigzag electrodes for suppressing the color shift of Kerr effect-based liquid crystal displays,https://github.com/moutai/ScalaCourseDemos/blob/master/linuxwords
263,Personal reflection,https://github.com/topics/self-reflection
264,Scientia Computandi: The science and engineering of software,https://github.com/ossu/computer-science
265,5-GHz-band vehicle-to-vehicle channels: Models for multiple values of channel bandwidth,https://github.com/ramonfontes/mn-wifi-ebook/blob/main/beginner.md
266,Polymer-carbon nanotube sheets for conformal load bearing antennas,https://github.com/bio-phys/cnt-gaff
267,E-textile conductors and polymer composites for conformal lightweight antennas,https://github.com/YingzhenLi/KDDCUP2013_SYSU/blob/master/LDA/com_all_key.txt
268,A dynamic cost weighting framework for unit selection text-to-speech synthesis,https://github.com/tts-tutorial/survey
269,The world is not small for everyone: Inequity in searching for knowledge in organizations,https://github.com/mikenguyen13/comm_theory/blob/master/11.Rmd
270,"Rovibrational energy transfer in Ne-Li2(A1Σ u+, v =0): Comparison of experimental data and results from classical and quantum calculations",
271,A 3 watt 39.8-44.6 Gb/s dual-mode SFI5.2 SerDes chip set in 65 nm CMOS,https://github.com/SparcLab/OpenSERDES
272,Emerging blue phase liquid crystal displays,https://github.com/fmalpartida/New-LiquidCrystal
